"name"	"PS1-14qm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://star.pst.qub.ac.uk/ps1threepi/psdb/public/'>PS1 SN page</a>"	"alias"	"2"
"aliases"	"PS1-14qm,CSS140309:120205+372007"
"discoverday"	"8"
"discoverer"	"PS1"
"discovermonth"	"3"
"discoveryear"	"2014"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2014"
"sndec"	"+37:20:07.0"
"snra"	"12:02:05.38"
"photometry"	"timeunit"	"MJD"	"time"	"56724.5"	"abmag"	"19.0"	"source"	"2,1"
