"name"	"SN2003ab"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"1"
"discoverer"	"Boles"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"+485805"
"galra"	"091912"
"host"	"UGC 4930"
"hvel"	"8816"
"maxday"	"9"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.0299"
"sndec"	"+485809.1"
"snra"	"091913.26"
"photometry"	"timeunit"	"MJD"	"time"	"52671.97"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52672.85"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52679.0"	"band"	"R"	"abmag"	"17.6"	"source"	"1,2"
