"name"	"iPTF15akg"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7496'>ATEL 7496</a>"	"alias"	"2"
"aliases"	"iPTF15akg,PS15ajm"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"PTF"
"discovermonth"	"5"
"discoveryear"	"2015"
"maxday"	"1"
"maxmonth"	"5"
"maxyear"	"2015"
"redshift"	"0.095"
"sndec"	"+44:02:15.9"
"snra"	"11:28:32.98"
"photometry"	"timeunit"	"MJD"	"time"	"57143.5"	"abmag"	"19.2"	"source"	"2,1"
