"name"	"SN2011jm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002962.txt'>CBET 2962</a>"	"alias"	"2"
"aliases"	"SN2011jm,TCP J12545110+0239149"
"claimedtype"	"Ic"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+023915"
"galra"	"125451"
"host"	"NGC 4809"
"hvel"	"956"
"maxday"	"23"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0031"
"sndec"	"+02:39:14.8"
"snra"	"12:54:51.09"
"photometry"	"timeunit"	"MJD"	"time"	"55918.5"	"abmag"	"14.8"	"source"	"2,1"
