"name"	"SN2013da"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003549.txt'>CBET 3549</a>"	"alias"	"2"
"aliases"	"SN2013da,ASASSN-13an"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"6"
"discoveryear"	"2013"
"galdec"	"-071935"
"galra"	"134536"
"host"	"PGC0170294"
"hvel"	"7287"
"maxday"	"4"
"maxmonth"	"6"
"maxyear"	"2013"
"redshift"	"0.0216"
"sndec"	"-07:19:32.6"
"snra"	"13:45:36.21"
"photometry"	"timeunit"	"MJD"	"time"	"56447.5"	"abmag"	"16.5"	"source"	"2,1"
