"name"	"OGLE15dw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7782'>ATEL 7782</a>"	"alias"	"2"
"aliases"	"OGLE15dw,OGLE15ee"
"claimedtype"	"unk"
"discoverday"	"14"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"7"
"discoveryear"	"2015"
"maxday"	"14"
"maxmonth"	"7"
"maxyear"	"2015"
"sndec"	"-69:41:52.8"
"snra"	"00:22:46.31"
"photometry"	"timeunit"	"MJD"	"time"	"57217.5"	"abmag"	"18.6"	"source"	"2,1"
