"name"	"SN2006jj"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"+011323"
"galra"	"205934"
"host"	"A205934+0113"
"hvel"	"70300"
"maxday"	"5"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.27"
"sndec"	"+011323.7"
"snra"	"205934.81"
"photometry"	"timeunit"	"MJD"	"time"	"54005.0"	"band"	"g"	"abmag"	"21.4"	"source"	"1"
