"name"	"SN2001dt"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"Ia"
"discoverday"	"23"
"discoverer"	"LOTOSS"
"discovermonth"	"8"
"discoveryear"	"2001"
"galdec"	"+500932"
"galra"	"232219"
"host"	"UGC 12558"
"hvel"	"8921"
"maxday"	"23"
"maxmonth"	"8"
"maxyear"	"2001"
"redshift"	"0.0302"
"sndec"	"+500925.3"
"snra"	"232219.17"
"photometry"	"timeunit"	"MJD"	"time"	"52144.4"	"band"	"C"	"abmag"	"18.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52145.4"	"band"	"C"	"abmag"	"18.2"	"source"	"1,2"
