"name"	"SN2011jp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002965.txt'>CBET 2965</a>"	"alias"	"2"
"aliases"	"SN2011jp,PSN J02580760-1021541"
"claimedtype"	"IIP"
"discoverday"	"26"
"discoverer"	"Greg Bock"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"-102148"
"galra"	"025808"
"host"	"NGC 1154"
"hvel"	"4648"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.0155"
"sndec"	"-10:21:54.0"
"snra"	"02:58:07.59"
"photometry"	"timeunit"	"MJD"	"time"	"55921.5"	"abmag"	"15.5"	"source"	"2,1"
