"name"	"K0905-10"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001861.txt'>CBET 1861</a>"	"alias"	"2"
"aliases"	"K0905-10,CSS090523:142647+123529"
"discoverday"	"22"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2009"
"maxday"	"22"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+12:35:29.1"
"snra"	"14:26:47.44"
"photometry"	"timeunit"	"MJD"	"time"	"54973.5"	"abmag"	"18.5"	"source"	"2,1"
