"name"	"SN2006nz"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"M.Hicken et al., 2009, astro-ph/0901.4787"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-011336"
"galra"	"005629"
"host"	"A005629-0113"
"hvel"	"11360"
"maxday"	"16"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.0386"
"sndec"	"-011336.1"
"snra"	"005629.21"
"photometry"	"timeunit"	"MJD"	"time"	"54054.67815"	"band"	"V"	"abmag"	"18.172"	"aberr"	"0.028"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54054.68116"	"band"	"B"	"abmag"	"18.35"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54055.8251"	"band"	"V"	"abmag"	"18.051"	"aberr"	"0.028"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54055.82812"	"band"	"B"	"abmag"	"18.324"	"aberr"	"0.034"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54063.69275"	"band"	"V"	"abmag"	"18.067"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54063.69578"	"band"	"B"	"abmag"	"18.898"	"aberr"	"0.036"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54065.72083"	"band"	"B"	"abmag"	"19.262"	"aberr"	"0.06"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54075.68536"	"band"	"V"	"abmag"	"19.114"	"aberr"	"0.064"	"source"	"1,2"
