"name"	"SN2000cf"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"4"
"source"	"name"	"Krisciunas et al., 2005, astro-ph/0511162"	"alias"	"5"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"6"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"7"
"claimedtype"	"Ia"
"discoverday"	"9"
"discoverer"	"Puckett, Sehgal"
"discovermonth"	"5"
"discoveryear"	"2000"
"galdec"	"+655610"
"galra"	"155256"
"host"	"M+11-19-25"
"hvel"	"10920"
"maxday"	"12"
"maxmonth"	"5"
"maxyear"	"2000"
"redshift"	"0.0371"
"sndec"	"+655612.7"
"snra"	"155256.19"
"photometry"	"timeunit"	"MJD"	"time"	"51673.23"	"band"	"C"	"abmag"	"16.9"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51675.18"	"band"	"B"	"abmag"	"17.17"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51675.18"	"band"	"I"	"abmag"	"17.2"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51675.18"	"band"	"R"	"abmag"	"16.99"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51675.18"	"band"	"V"	"abmag"	"17.09"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51675.185"	"band"	"B"	"abmag"	"17.222"	"aberr"	"0.021"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51675.185"	"band"	"I"	"abmag"	"17.398"	"aberr"	"0.021"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51675.185"	"band"	"R"	"abmag"	"17.096"	"aberr"	"0.013"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51675.185"	"band"	"V"	"abmag"	"17.201"	"aberr"	"0.026"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51676.01"	"band"	"R"	"abmag"	"16.3"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"U"	"abmag"	"17.173"	"aberr"	"0.077"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"B"	"abmag"	"17.256"	"aberr"	"0.022"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"V"	"abmag"	"17.194"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"R"	"abmag"	"17.063"	"aberr"	"0.020"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"I"	"abmag"	"17.491"	"aberr"	"0.037"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"B"	"abmag"	"17.26"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"I"	"abmag"	"17.49"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"R"	"abmag"	"17.06"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"U"	"abmag"	"17.17"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51676.35"	"band"	"V"	"abmag"	"17.19"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"U"	"abmag"	"17.334"	"aberr"	"0.063"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"B"	"abmag"	"17.302"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"V"	"abmag"	"17.191"	"aberr"	"0.018"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"R"	"abmag"	"17.126"	"aberr"	"0.024"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"I"	"abmag"	"17.524"	"aberr"	"0.034"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"B"	"abmag"	"17.3"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"I"	"abmag"	"17.52"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"R"	"abmag"	"17.13"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"U"	"abmag"	"17.33"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.3"	"band"	"V"	"abmag"	"17.19"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51677.95"	"band"	"C"	"abmag"	"16.4"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51678.24"	"band"	"U"	"abmag"	"17.410"	"aberr"	"0.097"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51678.24"	"band"	"R"	"abmag"	"17.151"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51678.24"	"band"	"R"	"abmag"	"17.15"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"U"	"abmag"	"17.648"	"aberr"	"0.085"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"B"	"abmag"	"17.445"	"aberr"	"0.023"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"V"	"abmag"	"17.270"	"aberr"	"0.014"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"R"	"abmag"	"17.180"	"aberr"	"0.018"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"I"	"abmag"	"17.604"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"B"	"abmag"	"17.45"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"I"	"abmag"	"17.6"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51679.28"	"band"	"U"	"abmag"	"17.65"	"source"	"3,6"
"photometry"	"timeunit"	"MJD"	"time"	"51684.1655"	"band"	"B"	"abmag"	"18.023"	"aberr"	"0.021"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51684.1655"	"band"	"I"	"abmag"	"17.901"	"aberr"	"0.021"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51684.1655"	"band"	"R"	"abmag"	"17.571"	"aberr"	"0.014"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51684.1655"	"band"	"V"	"abmag"	"17.577"	"aberr"	"0.009"	"source"	"3,5"
"photometry"	"timeunit"	"MJD"	"time"	"51684.17"	"band"	"B"	"abmag"	"17.92"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51684.17"	"band"	"I"	"abmag"	"17.49"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"51684.17"	"band"	"R"	"abmag"	"17.34"	"source"	"3,4"
