"name"	"SN2012gk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003301.txt'>CBET 3301</a>"	"alias"	"2"
"aliases"	"SN2012gk,PSN J05224150-3903443"
"claimedtype"	"IIP"
"discoverday"	"12"
"discoverer"	"Stu Parker"
"discovermonth"	"11"
"discoveryear"	"2012"
"galdec"	"-390348"
"galra"	"052243"
"host"	"ESO 305-G21"
"hvel"	"15180"
"maxday"	"12"
"maxmonth"	"11"
"maxyear"	"2012"
"redshift"	"0.050415"
"sndec"	"-39:03:44.3"
"snra"	"05:22:41.50"
"photometry"	"timeunit"	"MJD"	"time"	"56243.5"	"abmag"	"18.0"	"source"	"2,1"
