"name"	"PSN J08595594-0725103"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J08595594-0725103.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J08595594-0725103,CSS131231:085956-072510"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2013"
"host"	"MCG -1-23-16"
"maxday"	"30"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.02"
"sndec"	"-07:25:10.3"
"snra"	"08:59:55.94"
"photometry"	"timeunit"	"MJD"	"time"	"56656.5"	"abmag"	"17.4"	"source"	"2,1"
