"name"	"SN2006fh"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"8"
"discoveryear"	"2006"
"galdec"	"-003859"
"galra"	"014934"
"host"	"A014934-0038"
"hvel"	"36500"
"maxday"	"20"
"maxmonth"	"8"
"maxyear"	"2006"
"redshift"	"0.13"
"sndec"	"-003859.6"
"snra"	"014934.91"
"photometry"	"timeunit"	"MJD"	"time"	"53975.0"	"band"	"g"	"abmag"	"20.4"	"source"	"1"
