"name"	"SN2012ew"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003233.txt'>CBET 3233</a>"	"alias"	"2"
"aliases"	"SN2012ew,PSN J02452841-6207214"
"claimedtype"	"IIP"
"discoverday"	"16"
"discoverer"	"Stu Parker"
"discovermonth"	"7"
"discoveryear"	"2012"
"galdec"	"-620730"
"galra"	"024530"
"host"	"PGC 127935"
"hvel"	"7705"
"maxday"	"16"
"maxmonth"	"7"
"maxyear"	"2012"
"redshift"	"0.0257"
"sndec"	"-62:07:21.4"
"snra"	"02:45:28.41"
"photometry"	"timeunit"	"MJD"	"time"	"56124.5"	"abmag"	"17.7"	"source"	"2,1"
