"name"	"SN2011cv"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011cv,MLS110430:143337-120221"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"-120212"
"galra"	"143337"
"host"	"PGC0119986"
"hvel"	"31600"
"maxday"	"29"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.11"
"sndec"	"-12:02:20.9"
"snra"	"14:33:37.37"
"photometry"	"timeunit"	"MJD"	"time"	"55680.5"	"abmag"	"19.2"	"source"	"2,1"
