"name"	"SN2013by"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003506.txt'>CBET 3506</a>"	"alias"	"2"
"aliases"	"SN2013by,PSN J16590243-6011418"
"claimedtype"	"II"
"discoverday"	"26"
"discoverer"	"Stu Parker"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"-601258"
"galra"	"165903"
"host"	"ESO 138-G10"
"hvel"	"1050"
"maxday"	"26"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.003816"
"sndec"	"-60:11:41.8"
"snra"	"16:59:02.43"
"photometry"	"timeunit"	"MJD"	"time"	"56408.5"	"abmag"	"12.7"	"source"	"2,1"
