"name"	"SN2013fx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003685.txt'>CBET 3685</a>"	"alias"	"2"
"aliases"	"SN2013fx,PSN J23032177-6911185"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CHASE"
"discovermonth"	"10"
"discoveryear"	"2013"
"galdec"	"-691118"
"galra"	"230321"
"host"	"A230321-6911"
"hvel"	"18000"
"maxday"	"25"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.06"
"sndec"	"-69:11:18.5"
"snra"	"23:03:21.77"
"photometry"	"timeunit"	"MJD"	"time"	"56590.5"	"abmag"	"17.0"	"source"	"2,1"
