"name"	"SN2006nb"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"-001940"
"galra"	"022653"
"host"	"A022653-0019"
"hvel"	"56500"
"maxday"	"8"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.21"
"sndec"	"-001940.1"
"snra"	"022653.40"
"photometry"	"timeunit"	"MJD"	"time"	"54030.0"	"band"	"g"	"abmag"	"22.8"	"source"	"1"
