"name"	"K0905-4"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001828.txt'>CBET 1828</a>"	"alias"	"2"
"aliases"	"K0905-4,CSS090424:124352+242749"
"claimedtype"	"unk"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2009"
"maxday"	"23"
"maxmonth"	"4"
"maxyear"	"2009"
"sndec"	"+24:27:49.2"
"snra"	"12:43:52.36"
"photometry"	"timeunit"	"MJD"	"time"	"54944.5"	"abmag"	"19.4"	"source"	"2,1"
