"name"	"SN2011es"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002787.txt'>CBET 2787</a>"	"alias"	"2"
"aliases"	"SN2011es,CSS110527:134355+253253"
"claimedtype"	"IIP"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"7"
"discoveryear"	"2011"
"galdec"	"+253252"
"galra"	"134354"
"host"	"A134354+2532"
"hvel"	"15000"
"maxday"	"11"
"maxmonth"	"7"
"maxyear"	"2011"
"redshift"	"0.05"
"sndec"	"+25:32:52.9"
"snra"	"13:43:54.95"
"photometry"	"timeunit"	"MJD"	"time"	"55753.5"	"abmag"	"19.9"	"source"	"2,1"
