"name"	"PSN J21243227-1127565"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J21243227-1127565.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J21243227-1127565,SNhunt217"
"claimedtype"	"unk"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"10"
"discoveryear"	"2013"
"host"	"PGC 91706"
"maxday"	"25"
"maxmonth"	"10"
"maxyear"	"2013"
"sndec"	"-11:27:56.5"
"snra"	"21:24:32.27"
"photometry"	"timeunit"	"MJD"	"time"	"56590.5"	"abmag"	"20.0"	"source"	"2,1"
