"name"	"SN2013fz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003692.txt'>CBET 3692</a>"	"alias"	"2"
"aliases"	"SN2013fz,PSN J04234644-5135463"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"Stu Parker"
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"-513558"
"galra"	"042347"
"host"	"NGC 1578"
"hvel"	"6108"
"maxday"	"1"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.02"
"sndec"	"-51:35:46.3"
"snra"	"04:23:46.44"
"photometry"	"timeunit"	"MJD"	"time"	"56597.5"	"abmag"	"15.1"	"source"	"2,1"
