"name"	"SN2014cc"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003943.txt'>CBET 3943</a>"	"alias"	"2"
"aliases"	"SN2014cc,PSN J06335776-3448276"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2014"
"galdec"	"-344845"
"galra"	"063359"
"host"	"NGC 2255"
"hvel"	"6872"
"maxday"	"8"
"maxmonth"	"8"
"maxyear"	"2014"
"redshift"	"0.02"
"sndec"	"-34:48:27.6"
"snra"	"06:33:57.76"
"photometry"	"timeunit"	"MJD"	"time"	"56877.5"	"abmag"	"15.9"	"source"	"2,1"
