"name"	"SN2003am"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET Oct2003"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"9"
"discoverer"	"LOTOSS"
"discovermonth"	"2"
"discoveryear"	"2003"
"galdec"	"-220301"
"galra"	"132044"
"host"	"E576-G40"
"hvel"	"2069"
"maxday"	"10"
"maxmonth"	"2"
"maxyear"	"2003"
"redshift"	"0.00693"
"sndec"	"-220253.5"
"snra"	"132043.57"
"photometry"	"timeunit"	"MJD"	"time"	"52679.5"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52680.4"	"band"	"C"	"abmag"	"17.7"	"source"	"1,2"
