"name"	"SN2001bs"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"22"
"discoverer"	"LOTOSS"
"discovermonth"	"5"
"discoveryear"	"2001"
"galdec"	"+674539"
"galra"	"154340"
"host"	"UGC 10018"
"hvel"	"8750"
"maxday"	"23"
"maxmonth"	"5"
"maxyear"	"2001"
"redshift"	"0.0296"
"sndec"	"+674531.3"
"snra"	"154339.38"
"photometry"	"timeunit"	"MJD"	"time"	"52051.4"	"band"	"C"	"abmag"	"18.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52052.3"	"band"	"C"	"abmag"	"18.2"	"source"	"1,2"
