"name"	"SN2015J"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004115.txt'>CBET 4115</a>"	"alias"	"2"
"aliases"	"SN2015J,SMTJ07350518-6907531"
"claimedtype"	"IIn"
"discoverday"	"8"
"discoverer"	"SkyMapper"
"discovermonth"	"6"
"discoveryear"	"2015"
"galdec"	"-690753"
"galra"	"073505"
"host"	"A073505-6907"
"hvel"	"1620"
"maxday"	"8"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.0054"
"sndec"	"-69:07:53.1"
"snra"	"07:35:05.18"
"photometry"	"timeunit"	"MJD"	"time"	"57181.5"	"abmag"	"16.0"	"source"	"2,1"
