"name"	"SN2015G"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004000/CBET004087.txt'>CBET 4087</a>"	"alias"	"2"
"aliases"	"SN2015G,PSN J20372558+6607115"
"claimedtype"	"Ibn"
"discoverday"	"22"
"discoverer"	"Kunihiro Shima"
"discovermonth"	"3"
"discoveryear"	"2015"
"galdec"	"+660620"
"galra"	"203714"
"host"	"NGC 6951"
"hvel"	"1331"
"maxday"	"22"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.00475"
"sndec"	"+66:07:11.5"
"snra"	"20:37:25.58"
"photometry"	"timeunit"	"MJD"	"time"	"57103.5"	"abmag"	"15.5"	"source"	"2,1"
