"name"	"SN2014ch"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003946.txt'>CBET 3946</a>"	"alias"	"2"
"aliases"	"SN2014ch,PSN J15583110+1251596"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"6"
"discoveryear"	"2014"
"galdec"	"+125156"
"galra"	"155831"
"host"	"A155831+1251"
"hvel"	"13200"
"maxday"	"14"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.044"
"sndec"	"+12:51:59.6"
"snra"	"15:58:31.10"
"photometry"	"timeunit"	"MJD"	"time"	"56822.5"	"abmag"	"16.5"	"source"	"2,1"
