"name"	"SN2014cw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003962.txt'>CBET 3962</a>"	"alias"	"2"
"aliases"	"SN2014cw,PSN J22152655-1028346"
"claimedtype"	"II"
"discoverday"	"1"
"discoverer"	"MASTER"
"discovermonth"	"9"
"discoveryear"	"2014"
"galdec"	"-102841"
"galra"	"221526"
"host"	"PGC 68414"
"hvel"	"1800"
"maxday"	"1"
"maxmonth"	"9"
"maxyear"	"2014"
"redshift"	"0.006"
"sndec"	"-10:28:34.6"
"snra"	"22:15:26.55"
"photometry"	"timeunit"	"MJD"	"time"	"56901.5"	"abmag"	"16.1"	"source"	"2,1"
