"name"	"SN2011ju"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002971.txt'>CBET 2971</a>"	"alias"	"2"
"aliases"	"SN2011ju,CSS111225:081044+402530"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+402529"
"galra"	"081043"
"host"	"A081043+4025"
"hvel"	"29300"
"maxday"	"24"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.103"
"sndec"	"+40:25:29.6"
"snra"	"08:10:43.55"
"photometry"	"timeunit"	"MJD"	"time"	"55919.5"	"abmag"	"19.2"	"source"	"2,1"
