"name"	"SN2009br"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001733.txt'>CBET 1733</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009br,CSS090319:152356-081918"
"discoverday"	"18"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2009"
"galdec"	"-081918"
"galra"	"152356"
"host"	"A152356-0819"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2009"
"sndec"	"-08:19:18.3"
"snra"	"15:23:56.14"
"photometry"	"timeunit"	"MJD"	"time"	"54908.5"	"abmag"	"16.9"	"source"	"2,1"
