"name"	"K0812-3"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001600/CBET001682.txt'>CBET 1682</a>"	"alias"	"2"
"aliases"	"K0812-3,CSS081204:110933+272440"
"claimedtype"	"unk"
"discoverday"	"3"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2008"
"maxday"	"3"
"maxmonth"	"12"
"maxyear"	"2008"
"sndec"	"+27:24:40.3"
"snra"	"11:09:32.94"
"photometry"	"timeunit"	"MJD"	"time"	"54803.5"	"abmag"	"18.1"	"source"	"2,1"
