"name"	"SN2012cw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003148.txt'>CBET 3148</a>"	"alias"	"2"
"aliases"	"SN2012cw,PSN J10134795+0326026"
"claimedtype"	"Ic"
"discoverday"	"14"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"6"
"discoveryear"	"2012"
"galdec"	"+032530"
"galra"	"101346"
"host"	"NGC 3166"
"hvel"	"1326"
"maxday"	"14"
"maxmonth"	"6"
"maxyear"	"2012"
"redshift"	"0.004486"
"sndec"	"+03:26:02.6"
"snra"	"10:13:47.95"
"photometry"	"timeunit"	"MJD"	"time"	"56092.5"	"abmag"	"16.0"	"source"	"2,1"
