"name"	"SN1604"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://en.wikipedia.org/wiki/Kepler%27s_Supernova'>WikiPedia</a>"	"alias"	"2"
"aliases"	"SN1604,V843 Oph"
"claimedtype"	"Ia"
"discoverday"	"31"
"discoverer"	"Altobelli"
"discovermonth"	"12"
"discoveryear"	"1969"
"host"	"Milky Way"
"maxday"	"31"
"maxmonth"	"12"
"maxyear"	"1969"
"sndec"	"-21:29:11.0"
"snra"	"17:30:40.8"
"photometry"	"timeunit"	"MJD"	"time"	"40586.5"	"abmag"	"-2.5"	"source"	"2,1"
