"name"	"SN2015av"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004199.txt'>CBET 4199</a>"	"alias"	"2"
"aliases"	"SN2015av,PSN J20293645-4350277"
"claimedtype"	"Ic"
"discoverday"	"15"
"discoverer"	"Stu Parker"
"discovermonth"	"11"
"discoveryear"	"2015"
"galdec"	"-435028"
"galra"	"202938"
"host"	"ESO 285-G20"
"hvel"	"6712"
"maxday"	"15"
"maxmonth"	"11"
"maxyear"	"2015"
"redshift"	"0.023"
"sndec"	"-43:50:27.7"
"snra"	"20:29:36.45"
"photometry"	"timeunit"	"MJD"	"time"	"57341.5"	"abmag"	"17.6"	"source"	"2,1"
