"name"	"SN2007pv"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"30"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+010737"
"galra"	"215945"
"host"	"A215945+0107"
"hvel"	"68100"
"maxday"	"6"
"maxmonth"	"11"
"maxyear"	"2007"
"redshift"	"0.26"
"sndec"	"+010737.0"
"snra"	"215945.15"
"photometry"	"timeunit"	"MJD"	"time"	"54403.0"	"band"	"g"	"abmag"	"21.5"	"source"	"1"
