"name"	"SN1999eb"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"4"
"aliases"	"SN1999eb,GRB 991002"
"claimedtype"	"IIn"
"discoverday"	"19"
"discoverer"	"LOSS"
"discovermonth"	"9"
"discoveryear"	"1999"
"galdec"	"+041322"
"galra"	"014346"
"host"	"NGC 664"
"hvel"	"5412"
"maxday"	"2"
"maxmonth"	"10"
"maxyear"	"1999"
"redshift"	"0.0182"
"sndec"	"+04:13:25.9"
"snra"	"01:43:45.45"
"photometry"	"timeunit"	"MJD"	"time"	"51440.4"	"band"	"C"	"abmag"	"19"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51443.4"	"band"	"C"	"abmag"	"18"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51450.4"	"band"	"C"	"abmag"	"16.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51453.4"	"band"	"C"	"abmag"	"16.2"	"source"	"1,2"
