"name"	"SN2010le"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010le,CSS101105:002052+333935"
"claimedtype"	"Ia"
"discoverday"	"4"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"+333935"
"galra"	"002052"
"host"	"A002052+3339"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2010"
"sndec"	"+33:39:35.5"
"snra"	"00:20:52.21"
"photometry"	"timeunit"	"MJD"	"time"	"55504.5"	"abmag"	"18.3"	"source"	"2,1"
