"name"	"SN2014am"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003847.txt'>CBET 3847</a>"	"alias"	"2"
"aliases"	"SN2014am,MASTER OT J152318.48+181733.3"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2014"
"galdec"	"+181739"
"galra"	"152319"
"host"	"152319+1817"
"hvel"	"15900"
"maxday"	"25"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.053"
"sndec"	"+18:17:33.3"
"snra"	"15:23:18.48"
"photometry"	"timeunit"	"MJD"	"time"	"56741.5"	"abmag"	"17.4"	"source"	"2,1"
