"name"	"LSQ14ahm"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5961'>ATEL 5961</a>"	"alias"	"2"
"aliases"	"LSQ14ahm,CSS140325:114122-122357"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"3"
"discoveryear"	"2014"
"maxday"	"24"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.05"
"sndec"	"-12:23:57.5"
"snra"	"11:41:22.45"
"photometry"	"timeunit"	"MJD"	"time"	"56740.5"	"abmag"	"17.2"	"source"	"2,1"
