"name"	"SN2013hk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003758.txt'>CBET 3758</a>"	"alias"	"2"
"aliases"	"SN2013hk,PS1-14dh"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"+155538"
"galra"	"030211"
"host"	"PGC 2816341"
"hvel"	"5135"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.017"
"sndec"	"+15:55:38.8"
"snra"	"03:02:10.90"
"photometry"	"timeunit"	"MJD"	"time"	"56640.5"	"abmag"	"14.7"	"source"	"2,1"
