"name"	"SN2013ht"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003773.txt'>CBET 3773</a>"	"alias"	"2"
"source"	"name"	"Joseph Brimacombe"	"alias"	"3"
"aliases"	"SN2013ht,PSN J10555095-0951424"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"-095136"
"galra"	"105549"
"host"	"MCG -2-28-21"
"hvel"	"8282"
"maxday"	"30"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.02775"
"sndec"	"-09:51:42.4"
"snra"	"10:55:50.95"
"photometry"	"timeunit"	"MJD"	"time"	"56656.5"	"abmag"	"18.9"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56658.41"	"band"	"C"	"abmag"	"17.9"	"source"	"3,1"
