"name"	"SN2000O"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"5"
"discoverer"	"Puckett"
"discovermonth"	"3"
"discoveryear"	"2000"
"galdec"	"+175316"
"galra"	"121115"
"host"	"M+03-31-61"
"hvel"	"7042"
"maxday"	"28"
"maxmonth"	"3"
"maxyear"	"2000"
"redshift"	"0.0238"
"sndec"	"+175332.2"
"snra"	"121115.58"
"photometry"	"timeunit"	"MJD"	"time"	"51608.26"	"band"	"C"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51614.96"	"band"	"R"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51616.0"	"band"	"R"	"abmag"	"17"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51627.99"	"band"	"C"	"abmag"	"17.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51631.8"	"band"	"C"	"abmag"	"16.9"	"source"	"1,2"
