"name"	"LSQ15bf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6952'>ATEL 6952</a>"	"alias"	"2"
"aliases"	"LSQ15bf,PS15ie"
"claimedtype"	"Ia"
"discoverday"	"13"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"1"
"discoveryear"	"2015"
"maxday"	"13"
"maxmonth"	"1"
"maxyear"	"2015"
"redshift"	"0.07"
"sndec"	"+20:30:44.5"
"snra"	"09:02:06.97"
"photometry"	"timeunit"	"MJD"	"time"	"57035.5"	"abmag"	"19.5"	"source"	"2,1"
