"name"	"ASASSN-15pe"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://archive.stsci.edu/cgi-bin/dss_search?v=3&amp;r=17+20+15.35'>CGCG 226-5</a>"	"alias"	"2"
"source"	"name"	"Ron Arbour"	"alias"	"3"
"aliases"	"ASASSN-15pe,PSN J17201537+3915398"
"claimedtype"	"Ia"
"discoverday"	"6"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"9"
"discoveryear"	"2015"
"host"	"CGCG 226-5"
"maxday"	"6"
"maxmonth"	"9"
"maxyear"	"2015"
"redshift"	"0.03793"
"sndec"	"+39:15:39.4"
"snra"	"17:20:15.35"
"photometry"	"timeunit"	"MJD"	"time"	"57271.5"	"abmag"	"16.2"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"57272.8484"	"band"	"U"	"abmag"	"16.2"	"source"	"3,1"
