"name"	"PTF12box"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4089'>ATEL 4089</a>"	"alias"	"2"
"aliases"	"PTF12box,PS1-12agj"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"PTF"
"discovermonth"	"3"
"discoveryear"	"2012"
"maxday"	"12"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.063"
"sndec"	"+46:28:20.7"
"snra"	"13:52:10.49"
"photometry"	"timeunit"	"MJD"	"time"	"55998.5"	"abmag"	"18.4"	"source"	"2,1"
