"name"	"SN2006kl"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"28"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"-000808"
"galra"	"003133"
"host"	"A003133-0008"
"hvel"	"58800"
"maxday"	"3"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.22"
"sndec"	"-000808.9"
"snra"	"003133.28"
"photometry"	"timeunit"	"MJD"	"time"	"54006.0"	"band"	"g"	"abmag"	"21.3"	"source"	"1"
