"name"	"ASASSN-14ma"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6824'>ATEL 6824</a>"	"alias"	"2"
"source"	"name"	"Rafael Benavides"	"alias"	"3"
"aliases"	"ASASSN-14ma,PS1-14abt"
"claimedtype"	"IIP"
"discoverday"	"19"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"12"
"discoveryear"	"2014"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2014"
"redshift"	"0.0137"
"sndec"	"+10:12:54.2"
"snra"	"23:55:09.13"
"photometry"	"timeunit"	"MJD"	"time"	"57010.88634"	"band"	"CV"	"abmag"	"16.82"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"57017.5"	"abmag"	"16.7"	"source"	"2,1"
