"name"	"SN2011aj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002664.txt'>CBET 2664</a>"	"alias"	"2"
"aliases"	"SN2011aj,PSN J16501398+5522280"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"Xing Gao et al."
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"+552305"
"galra"	"165014"
"host"	"NGC 6246A"
"hvel"	"5267"
"maxday"	"15"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0175"
"sndec"	"+55:22:28.0"
"snra"	"16:50:13.97"
"photometry"	"timeunit"	"MJD"	"time"	"55607.5"	"abmag"	"16.2"	"source"	"2,1"
