"name"	"SN2010ba"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002200/CBET002225.txt'>CBET 2225</a>"	"alias"	"2"
"source"	"name"	"LLA"	"alias"	"3"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"4"
"aliases"	"SN2010ba,CSS100321:115821+152011"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"3"
"discoveryear"	"2010"
"galdec"	"+152012"
"galra"	"115821"
"host"	"A115821+1520"
"maxday"	"20"
"maxmonth"	"3"
"maxyear"	"2010"
"sndec"	"+15:20:10.8"
"snra"	"11:58:20.68"
"photometry"	"timeunit"	"MJD"	"time"	"55275.5"	"abmag"	"14.4"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"55295.832"	"band"	"CR"	"abmag"	"15.6"	"aberr"	"0.17"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"55339.874"	"band"	"CR"	"abmag"	"16.8"	"source"	"3,1"
