"name"	"SN2010es"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002300/CBET002339.txt'>CBET 2339</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010es,CSS100616:163318+114505"
"discoverday"	"15"
"discoverer"	"CRTS"
"discovermonth"	"6"
"discoveryear"	"2010"
"galdec"	"+114504"
"galra"	"163317"
"host"	"A163317+1145"
"maxday"	"15"
"maxmonth"	"6"
"maxyear"	"2010"
"sndec"	"+11:45:04.9"
"snra"	"16:33:17.92"
"photometry"	"timeunit"	"MJD"	"time"	"55362.5"	"abmag"	"18.6"	"source"	"2,1"
