"name"	"MASTER OT J072556.41+414317.5"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5932'>ATEL 5932</a>"	"alias"	"2"
"aliases"	"MASTER OT J072556.41+414317.5,PS1-14qr"
"discoverday"	"23"
"discoverer"	"MASTER"
"discovermonth"	"2"
"discoveryear"	"2014"
"host"	"PGC 2185706"
"maxday"	"23"
"maxmonth"	"2"
"maxyear"	"2014"
"sndec"	"+41:43:17.5"
"snra"	"07:25:56.41"
"photometry"	"timeunit"	"MJD"	"time"	"56711.5"	"abmag"	"17.6"	"source"	"2,1"
