"name"	"SN2003dh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iauc/08100/08114.html#Item1'>IAUC 8114</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2003dh,GRB 030329"
"claimedtype"	"Ic"
"discoverday"	"27"
"discoverer"	"HETE Science team"
"discovermonth"	"3"
"discoveryear"	"2003"
"galdec"	"+213117"
"galra"	"104450"
"host"	"A104450+2131"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2003"
"redshift"	"0.169"
"sndec"	"+21:31:17.89"
"snra"	"10:44:50.018"
"photometry"	"timeunit"	"MJD"	"time"	"52725.5"	"abmag"	"16.2"	"source"	"2,1"
