"name"	"SN1971K"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"D.Yu.Tsvetkov, Perem. Zvezdy, 22,191,1985"	"alias"	"2"
"claimedtype"	"II* P"
"discoverday"	"12"
"discoverer"	"Kulikovskij"
"discovermonth"	"6"
"discoveryear"	"1971"
"galdec"	"+474127"
"galra"	"114117"
"host"	"NGC 3811"
"hvel"	"3103"
"maxday"	"15"
"maxmonth"	"6"
"maxyear"	"1971"
"redshift"	"0.0104"
"photometry"	"timeunit"	"MJD"	"time"	"41114.8"	"band"	"B"	"abmag"	"16.72"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41114.81"	"band"	"B"	"abmag"	"16.48"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41117.9"	"band"	"B"	"abmag"	"16.33"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41118.8"	"band"	"B"	"abmag"	"16.34"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41127.8"	"band"	"B"	"abmag"	"16.37"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41128.84"	"band"	"B"	"abmag"	"16.38"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"41129.84"	"band"	"B"	"abmag"	"16.47"	"source"	"1,2"
