"name"	"SN2012hs"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003347.txt'>CBET 3347</a>"	"alias"	"2"
"aliases"	"SN2012hs,PSN J09491471-4754456"
"claimedtype"	"II"
"discoverday"	"14"
"discoverer"	"CHASE"
"discovermonth"	"12"
"discoveryear"	"2012"
"galdec"	"-475514"
"galra"	"094917"
"host"	"ESO 213-G2"
"hvel"	"1761"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2012"
"redshift"	"0.006424"
"sndec"	"-47:54:45.6"
"snra"	"09:49:14.71"
"photometry"	"timeunit"	"MJD"	"time"	"56275.5"	"abmag"	"14.5"	"source"	"2,1"
