"name"	"ASASSN-15kz"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7625'>ATEL 7625</a>"	"alias"	"2"
"aliases"	"ASASSN-15kz,PS15axg"
"claimedtype"	"IIP"
"discoverday"	"20"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"6"
"discoveryear"	"2015"
"host"	"IC 4303"
"maxday"	"20"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.008022"
"sndec"	"-28:39:23.5"
"snra"	"13:37:18.67"
"photometry"	"timeunit"	"MJD"	"time"	"57193.5"	"abmag"	"15.5"	"source"	"2,1"
