"name"	"SN2011dt"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002752.txt'>CBET 2752</a>"	"alias"	"2"
"aliases"	"SN2011dt,PSN J14243612+3516387"
"claimedtype"	"II"
"discoverday"	"24"
"discoverer"	"LOSS"
"discovermonth"	"5"
"discoveryear"	"2011"
"galdec"	"+351647"
"galra"	"142435"
"host"	"UGC 9233"
"hvel"	"8514"
"maxday"	"24"
"maxmonth"	"5"
"maxyear"	"2011"
"redshift"	"0.0284"
"sndec"	"+35:16:38.7"
"snra"	"14:24:36.11"
"photometry"	"timeunit"	"MJD"	"time"	"55705.5"	"abmag"	"17.9"	"source"	"2,1"
