"name"	"SN2011ab"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002654.txt'>CBET 2654</a>"	"alias"	"2"
"aliases"	"SN2011ab,Konkoly 010952.96+155942.5"
"claimedtype"	"IIP"
"discoverday"	"29"
"discoverer"	"Z. Kuli, K. S&aacute;"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+155943"
"galra"	"010952"
"host"	"A010952+1559"
"hvel"	"22500"
"maxday"	"29"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.075"
"sndec"	"+15:59:43.3"
"snra"	"01:09:52.97"
"photometry"	"timeunit"	"MJD"	"time"	"55590.5"	"abmag"	"19.3"	"source"	"2,1"
