"name"	"SN2006ht"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2006"
"galdec"	"+005458"
"galra"	"211247"
"host"	"A211247+0054"
"hvel"	"54100"
"maxday"	"5"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.2"
"sndec"	"+005458.8"
"snra"	"211247.66"
"photometry"	"timeunit"	"MJD"	"time"	"53998.0"	"band"	"g"	"abmag"	"23.0"	"source"	"1"
