"name"	"SN2011cw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002700/CBET002733.txt'>CBET 2733</a>"	"alias"	"2"
"aliases"	"SN2011cw,CSS110501:144740+514105"
"claimedtype"	"IIn"
"discoverday"	"30"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2011"
"galdec"	"+514104"
"galra"	"144739"
"host"	"A144739+5141"
"hvel"	"12000"
"maxday"	"30"
"maxmonth"	"4"
"maxyear"	"2011"
"redshift"	"0.04"
"sndec"	"+51:41:04.7"
"snra"	"14:47:39.55"
"photometry"	"timeunit"	"MJD"	"time"	"55681.5"	"abmag"	"18.3"	"source"	"2,1"
