"name"	"SN2012dq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003181.txt'>CBET 3181</a>"	"alias"	"2"
"aliases"	"SN2012dq,PSN J07545548+7236346"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"Giancarlo Cortini"
"discovermonth"	"7"
"discoveryear"	"2012"
"galdec"	"+723643"
"galra"	"075454"
"host"	"UGC 4067"
"hvel"	"3462"
"maxday"	"8"
"maxmonth"	"7"
"maxyear"	"2012"
"redshift"	"0.011548"
"sndec"	"+72:36:34.6"
"snra"	"07:54:55.48"
"photometry"	"timeunit"	"MJD"	"time"	"56116.5"	"abmag"	"15.4"	"source"	"2,1"
