"name"	"SN2008dd"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001400/CBET001409.txt'>CBET 1409</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008dd,CSS080409:170404+213542"
"claimedtype"	"unk"
"discoverday"	"8"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2008"
"galdec"	"+213542"
"galra"	"170403"
"host"	"A170403+2135"
"hvel"	"12900"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2008"
"redshift"	"0.043"
"sndec"	"+21:35:42.0"
"snra"	"17:04:03.60"
"photometry"	"timeunit"	"MJD"	"time"	"54564.5"	"abmag"	"17.7"	"source"	"2,1"
